League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,
LaLiga ,14/15 ,19 ,Deportivo La Coruña ,Barcelona ,0 ,4 ,35% ,65% ,null ,null ,2 ,5 ,4 ,6 ,null ,null ,2 ,4 ,2 ,4 ,12 ,7 ,2 ,2 ,0 ,0 ,2 ,2 ,
LaLiga ,14/15 ,19 ,Elche CF ,Levante ,1 ,0 ,43% ,57% ,null ,null ,5 ,2 ,5 ,4 ,null ,null ,3 ,5 ,3 ,1 ,17 ,10 ,3 ,3 ,0 ,1 ,2 ,4 ,
LaLiga ,14/15 ,19 ,Sevilla ,Málaga ,2 ,0 ,56% ,44% ,null ,null ,7 ,2 ,2 ,6 ,null ,null ,3 ,1 ,3 ,2 ,14 ,19 ,4 ,1 ,0 ,0 ,2 ,5 ,
LaLiga ,14/15 ,20 ,Córdoba ,Real Madrid ,1 ,2 ,48% ,52% ,null ,null ,5 ,6 ,6 ,4 ,null ,null ,3 ,9 ,0 ,1 ,13 ,13 ,2 ,3 ,1 ,1 ,4 ,3 ,
LaLiga ,14/15 ,20 ,Elche CF ,Barcelona ,0 ,6 ,31% ,69% ,null ,null ,3 ,9 ,2 ,4 ,null ,null ,2 ,3 ,3 ,1 ,13 ,13 ,6 ,2 ,1 ,0 ,3 ,3 ,
LaLiga ,14/15 ,20 ,Atlético Madrid ,Rayo Vallecano ,3 ,1 ,42% ,58% ,null ,null ,9 ,3 ,5 ,8 ,null ,null ,8 ,5 ,2 ,1 ,14 ,12 ,1 ,1 ,0 ,0 ,2 ,6 ,
LaLiga ,14/15 ,20 ,Real Sociedad ,Eibar ,1 ,0 ,55% ,45% ,null ,null ,7 ,5 ,10 ,3 ,null ,null ,9 ,5 ,2 ,1 ,6 ,17 ,2 ,2 ,0 ,0 ,5 ,6 ,
LaLiga ,14/15 ,20 ,Villarreal ,Levante ,1 ,0 ,60% ,40% ,null ,null ,5 ,2 ,5 ,6 ,null ,null ,6 ,3 ,3 ,1 ,11 ,7 ,0 ,3 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,20 ,Deportivo La Coruña ,Granada ,2 ,2 ,46% ,54% ,null ,null ,6 ,2 ,4 ,1 ,null ,null ,7 ,2 ,2 ,3 ,18 ,15 ,3 ,3 ,1 ,0 ,0 ,4 ,
LaLiga ,14/15 ,20 ,Athletic Bilbao ,Málaga ,1 ,1 ,54% ,46% ,null ,null ,6 ,4 ,2 ,5 ,null ,null ,8 ,2 ,4 ,1 ,17 ,16 ,0 ,1 ,0 ,0 ,3 ,5 ,
LaLiga ,14/15 ,20 ,Espanyol ,Almería ,3 ,0 ,54% ,46% ,null ,null ,9 ,1 ,6 ,4 ,null ,null ,9 ,7 ,3 ,1 ,14 ,12 ,2 ,1 ,0 ,0 ,1 ,5 ,
LaLiga ,14/15 ,20 ,Valencia ,Sevilla ,3 ,1 ,41% ,59% ,null ,null ,10 ,4 ,2 ,2 ,null ,null ,3 ,7 ,null ,null ,19 ,14 ,6 ,5 ,0 ,0 ,3 ,7 ,
