Confirmed,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,Time,IsHome,IncidentClass,IncidentType,GameID
true,null,null,R. Firmino,roberto-firmino,F,38,false,goalAwarded,varDecision,5538
true,null,null,Trezeguet,trezeguet,M,90,true,penaltyAwarded,varDecision,5540
true,null,null,R. Mahrez,riyad-mahrez,F,19,false,goalAwarded,varDecision,5540
true,null,null,G. Deulofeu,gerard-deulofeu,F,70,true,penaltyAwarded,varDecision,5541
true,null,null,É. Lamela,erik-lamela,M,64,false,penaltyNotAwarded,varDecision,5541
true,null,null,A. Doucouré,abdoulaye-doucoure,M,60,true,cardUpgrade,varDecision,5541
true,null,null,N. Pépé,nicolas-pepe,F,69,true,penaltyNotAwarded,varDecision,5542
true,null,null,N. Maupay,neal-maupay,F,90,true,cardUpgrade,varDecision,5543
true,null,null,L. Trossard,leandro-trossard,F,47,true,penaltyNotAwarded,varDecision,5543
false,null,null,J. Cancelo,joao-cancelo,D,72,true,penaltyAwarded,varDecision,5544
true,null,null,W. Zaha,wilfried-zaha,F,17,false,penaltyNotAwarded,varDecision,5544
false,,,B. Godfrey,ben-godfrey,D,75,true,cardUpgrade,varDecision,5545
true,,,O. Duda,ondrej-duda,M,31,true,penaltyAwarded,varDecision,5545
true,null,null,R. Jiménez,raul-jimenez,F,77,false,goalAwarded,varDecision,5546
false,null,null,J. Otto,jonny-otto,M,63,false,penaltyNotAwarded,varDecision,5546
true,null,null,P. Neto,pedro-neto,F,54,false,goalAwarded,varDecision,5546
true,,,A. Ajeti,albian-ajeti,F,90,true,cardUpgrade,varDecision,5547
false,null,null,R. Firmino,roberto-firmino,F,25,true,goalAwarded,varDecision,5550
true,,,A. Mooy,aaron-mooy,M,90,false,penaltyNotAwarded,varDecision,5552
true,,,A. Mooy,aaron-mooy,M,82,false,goalAwarded,varDecision,5552
true,null,null,D. Calvert-Lewin,dominic-calvert-lewin,F,85,true,cardUpgrade,varDecision,5554
true,null,null,S. Haller,sebastien-haller,F,49,false,penaltyAwarded,varDecision,5557
true,null,null,M. Aarons,max-aarons,D,69,false,penaltyAwarded,varDecision,5558
true,,,T. Cantwell,todd-cantwell,M,48,false,cardUpgrade,varDecision,5558
true,,,L. Shaw,luke-shaw,D,90,true,goalNotAwarded,varDecision,5559
true,null,null,C. Taylor,charlie-taylor,D,68,false,cardUpgrade,varDecision,5559
true,null,null,J. Henderson,jordan-henderson,M,8,false,goalAwarded,varDecision,5560
true,null,null,T. Abraham,tammy-abraham,F,20,false,penaltyNotAwarded,varDecision,5561
true,null,null,N. Aké,nathan-ake,D,45,true,goalAwarded,varDecision,5562
false,null,null,J. Ward,joel-ward,D,73,true,redCardGiven,varDecision,5563
true,null,null,B. Sharp,billy-sharp,F,31,false,cardUpgrade,varDecision,5563
true,,,M. Salah,mohamed-salah,F,55,true,goalNotAwarded,varDecision,5564
true,null,null,J. Henderson,jordan-henderson,M,31,true,penaltyNotAwarded,varDecision,5564
true,,,F. Delph,fabian-delph,M,59,false,cardUpgrade,varDecision,5566
true,null,null,R. Pereyra,roberto-pereyra,M,40,true,cardUpgrade,varDecision,5566
true,null,null,L. Digne,lucas-digne,D,36,false,cardUpgrade,varDecision,5566
false,null,null,G. Murray,glenn-murray,F,79,false,goalNotAwarded,varDecision,5567
true,null,null,R. Sterling,raheem-sterling,F,41,false,penaltyNotAwarded,varDecision,5570
false,,,S. Agüero,sergio-aguero,F,39,false,penaltyNotAwarded,varDecision,5570
true,null,null,R. Sterling,raheem-sterling,F,13,false,cardUpgrade,varDecision,5570
